,,,,,
,,,,,
,,,,,
,,,,,
XENO ITEM,DESCRIPTION,DEFAULT INPUT,NAVIGATION,3D,2D
MOUSE1,,LEFT CLICK,SELECT,SELECT,SELECT
MOUSE2,,RIGHT CLICK,OPTIONS,NONE,NONE
MOUSE2 + MOUSEDRAG,,RIGHT CLICK+DRAG,PAN,PAN,PAN
,,,,,
MBUTTON + MOUSEDRAG,,MIDDLE CLICK,ORBIT 3D AROUND CENTER,,
MWHEELUP,,MIDDLE SCROLL UP,ZOOM IN,,
MWHEELDOWN,,MIDDLE SCROLL DOWN,ZOOM OUT,,
MOUSE3,,THUMB BUTTON 1,BACK,,
MOUSE4,,THUMB BUTTON 2,FORWARD,,
MOUSE5,,,,,
MOUSE6,,,,,
MOUSE7,,,,,
MOUSE8,,,,,
MOUSE9,,,,,
MOUSE0,,,,,
VIEW_X,,,,,
VIEW_Y,,,,,
VIEW_Z,,,,,
VIEW_3D1,,VIEW 3D PERSPECTIVE,,,
VIEW_3D2,,VIEW 3D ORTHOGRAPHIC,,,
VIEW_3D3...,,VIEW 3D CAMERA1...,,,
,,,,,
CHANGING SELECTION MODES,,,,,
SELECT_VERTEXS,,TAB+V,,,
SELECT_CURVES,,TAB+L,,,
SELECT_SURFACES,,TAB+S,,,
SELECT_SOLIDS,,TAB+S,,,
SELECT_OBJECTS,,TAB+O,,,
,,,,,
,,,,,
SELECT_GROW,,"""+""",,,
SELECT_SHRINK,,"""-""",,,
,,,,,
SELECT ALL,,CTRL+A,,,
SELECT_NONE,CLEARS SELECTION,"SPACE, CTRL+D",,,
SELECT_INVERT,,,,,
SELECT_UNDO,UNDOES LAST SELECTION,,,,
SELECT_REDO,REDOES LAST SELECTION,,,,
,,,,,
,,,,,
,,,,,
,,,,,
SELECT_HIDE,,CTRL+H,,,
SELECT_UNHIDE_LAST,,CTRL+H,,,
SELECT_UNHIDE_ALL,,CTRL+SHIFT+A,,,
SELECT_LOCK,,CTRL+L,,,
SELECT_UNLOCK_PREV,,CTRL+L+BACKSPACE,,,
SELECT_UNLOCK_ALL,,CTRL+SHIFT+L,,,
,,,,,
SELECT_GROUP,,CTRL+G,,,
SELECT_UNGROUP_LAST,,CTRL+U,,,
SELECT_UNGROUP_ALL,,CTRL+SHIFT+U,,,
